"Segment"	"en-ZZ"	"nl-NL"	"ID"	"File"
"556"	"&lt;br /&gt;"	"&lt;br/&gt;"	"q00abody_itemTitle00a_5c9d2136beb735.24771090_1_0"	"PISA_nld-NLD_MAT_MA108-Fountains_en21_MS2022.xlf"
"2039"	"&lt;br /&gt;"	"&lt;br/&gt;"	"question00_1_question00_2_5c9d2137082601.32342965_1_0"	"PISA_nld-NLD_MAT_MA125-PaintingARoom_en21_MS2022.xlf"
"412"	"&lt;br /&gt;"	"&lt;br/&gt;"	"M105_question4_itemTitle4_5c9d213673cab1.26365073_1_0"	"PISA_nld-NLD_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"576"	"&lt;br /&gt;"	"&lt;br/&gt;"	"MA108q01_question_q01itemTitle_5c9d2136c0bac5.00189277_1_0"	"PISA_nld-NLD_MAT_MA108-Fountains_en21_MS2022.xlf"
"427"	"&lt;br /&gt;"	"&lt;br/&gt;"	"M105_question4a_itemTitle4a_5c9d2136756f38.40077403_1_0"	"PISA_nld-NLD_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"4591"	"A"	"Z"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_nld-NLD_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4464"	"&lt;br /&gt;"	"&lt;br/&gt;"	"MA153_stimulus3_dialogMsgText2_5c9d2137421d07.32064705_2_0"	"PISA_nld-NLD_MAT_MA153-Gears_en21_MS2022.xlf"
"4202"	"Click on a choice and then type an explanation to answer the question."	"Beantwoord de vraag door één van de opties aan te klikken en typ vervolgens je uitleg."	"q3MA148_question_q3itemDirections_5c9d21651d9930.88789683_1_0"	"PISA_nld-NLD_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"2072"	"&lt;br /&gt;"	"&lt;br/&gt;"	"MA125_question2_q2itemTitle_5c9d21370b1238.49467775_1_0"	"PISA_nld-NLD_MAT_MA125-PaintingARoom_en21_MS2022.xlf"
"5041"	"&lt;br /&gt;"	"&lt;br/&gt;"	"q0bMA161_question_q0bitemTitle_5c9d21379d5642.27779419_1_0"	"PISA_nld-NLD_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"437"	"&lt;br /&gt;"	"&lt;br/&gt;"	"M105_question5_itemTitle5_5c9d21367713a9.54308254_1_0"	"PISA_nld-NLD_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
