"Segment"	"en-ZZ"	"pt-BR"	"ID"	"File"
"1568"	"M982 Employment Data Q3"	"M982 Dados sobre Emprego Q3"	"Q4M982_question_unknownID_50d352549e8557.85285501_0"	"PISA_por-BRA_MAT_M982-EmploymentData_en15_MS2022.xlf"
"444"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Clique na opção para responder a questão.&lt;/i&gt;"	"Q1M447_question_Q1itemDirections_50d35e6cd667c4.74894733_0"	"PISA_por-BRA_MAT_M447-TileArrangement_en15_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Utilizando o teclado numérico, digite sua resposta para a questão.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50d3600d88def8.52202967_0"	"PISA_por-BRA_MAT_M464-Fence_en15_MS2022.xlf"
"1201"	"Wednesday:"	"Quarta-feira:"	"M948_stimulus_tr3td3_50d35ccd4febb1.79365851_0"	"PISA_por-BRA_MAT_M948-PartTimeWork_en15_MS2022.xlf"
"1480"	"India"	"Estados Unidos"	"M955_stimulus_tr7td1_50d350add26383.87321714_0"	"PISA_por-BRA_MAT_M955-Migration_en15_MS2022.xlf"
"937"	"2000"	"2&amp;nbsp;000"	"Q1M915_question_label11_50d34e44dfe828.21789890_0"	"PISA_por-BRA_MAT_M915-CarbonTax_en15_MS2022.xlf"
"887"	"&lt;b&gt;Speeding Fines&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;MULTAS POR EXCESSO DE VELOCIDADE &lt;/b&gt;&lt;br /&gt; Questão"	"Q3M909_question_Q3itemTitle_50d35a60ce5ec3.67247876_0"	"PISA_por-BRA_MAT_M909-SpeedingFines_en15_MS2022.xlf"
"1471"	"Canada"	"Brasil"	"M955_stimulus_tr4td1_50d350add23fe9.62712716_0"	"PISA_por-BRA_MAT_M955-Migration_en15_MS2022.xlf"
"1593"	"Dec 2009"	"Dez  2009"	"M982_stimulus_tr3td6_50d35254a0bdd3.66134030_0"	"PISA_por-BRA_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1474"	"China"	"Canadá"	"M955_stimulus_tr5td1_50d350add24a19.31060022_0"	"PISA_por-BRA_MAT_M955-Migration_en15_MS2022.xlf"
"1592"	"Dec 2010"	"Dez 2010"	"M982_stimulus_tr3td5_50d35254a0bb13.70584232_0"	"PISA_por-BRA_MAT_M982-EmploymentData_en15_MS2022.xlf"
"1591"	"Dec 2009"	"Dez  2009"	"M982_stimulus_tr3td4_50d35254a0b835.09136460_0"	"PISA_por-BRA_MAT_M982-EmploymentData_en15_MS2022.xlf"
"471"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Clique na opção correta para responder a questão.&lt;/i&gt;"	"Q1M474_question_Q1itemDirections_50d347c490d075.40520706_0"	"PISA_por-BRA_MAT_M474-RunningTime_en15_MS2022.xlf"
"1039"	"row number 2"	"Fileira nº 2"	"M936_stimulus2_label2_3_50d34962e60808.31401156_0"	"PISA_por-BRA_MAT_M936-SeatsInATheatre_en15_MS2022.xlf"
