"Segment"	"en-ZZ"	"fr-FR"	"ID"	"File"
"3425"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Cliquez sur la réponse de votre choix.&lt;/i&gt;"	"R556_question3_itemDirections_56fc790c66cbb0.18611214_1_0"	"PISA_fra-FRA_REA_R556-Microlending_fr18_MS2022.xlf"
"3717"	"Pour répondre à la question, cliquez sur vos choix de réponse dans le tableau.&lt;/i&gt;"	"Cliquez sur les réponses de votre choix dans le tableau.&lt;/i&gt;"	"R558_question8_itemDirections_56fc78e05d4316.27965419_1_0"	"PISA_fra-FRA_REA_R558-MicrowaveOvens_fr18_MS2022.xlf"
"4566"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Cliquez sur la réponse de votre choix.&lt;/i&gt;"	"R563_question06_q06itemDirections_56fc78e099dd75.18681041_1_0"	"PISA_fra-FRA_REA_R563-QuestionOfTheWeek_fr18_MS2022.xlf"
"2797"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Cliquez sur la réponse de votre choix.&lt;/i&gt;"	"R550_question01_q01itemDirections_56fd24408e55d3.35807329_1_0"	"PISA_fra-FRA_REA_R550-CliffPalace_fr18_MS2022.xlf"
"321"	"PHONE"	"TÉLÉPHONE"	"R219_stimulus_sect4Line2span3_50c7b72bbceba2.21481407_0"	"PISA_fra-FRA_REA_R219-Employment_en15_MS2022.xlf"
"6009"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Cliquez sur la réponse de votre choix.&lt;/i&gt;"	"R570_question05_q05itemDirections_56fc78d5977a32.51965525_1_0"	"PISA_fra-FRA_REA_R570-TheFavour_fr18_MS2022.xlf"
"2613"	"Pour répondre à la question, cliquez sur vos choix de réponse dans le tableau."	"Cliquez sur les réponses de votre choix dans le tableau. &lt;/i&gt;"	"R549_question09_q09itemDirections_56fc78e016fcb5.38986588_1_0"	"PISA_fra-FRA_REA_R549-MessageInABottle_fr18_MS2022.xlf"
"2103"	"Fausse"	"Faux"	"R545_question03_Q03tr1th3_56fc79295e5cd9.02386534_0"	"PISA_fra-FRA_REA_R545-MachuPicchu_fr18_MS2022.xlf"
"2833"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Cliquez sur la réponse de votre choix.&lt;/i&gt;"	"R550_question04_q04itemDirections_56fd2440931f74.67518644_1_0"	"PISA_fra-FRA_REA_R550-CliffPalace_fr18_MS2022.xlf"
"2282"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Cliquez sur la réponse de votre choix.&lt;/i&gt;"	"R547_question01_itemDirections_56fc791ab18839.53424806_1_0"	"PISA_fra-FRA_REA_R547-BookSurvey_fr18_MS2022.xlf"
"325"	"TO"	"AU"	"R219_stimulus_sect4Line3span4_50c7b72bbd0318.27890050_0"	"PISA_fra-FRA_REA_R219-Employment_en15_MS2022.xlf"
"2590"	"Référez-vous aux deux sources à droite en cliquant sur chacun des onglets."	"Utilisez les deux sources à droite en cliquant sur chacun des onglets."	"R549_question08_q08itemDirections_56fc78e0142646.58462114_0_0"	"PISA_fra-FRA_REA_R549-MessageInABottle_fr18_MS2022.xlf"
"4816"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Cliquez sur la réponse de votre choix.&lt;/i&gt;"	"R565_question01_itemDirections_56fc78f091ab85.28369331_1_0"	"PISA_fra-FRA_REA_R565-SittingDisease_fr18_MS2022.xlf"
"2847"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Cliquez sur la réponse de votre choix.&lt;/i&gt;"	"R550_question05_q05itemDirections_56fd244094e377.98331041_1_0"	"PISA_fra-FRA_REA_R550-CliffPalace_fr18_MS2022.xlf"
"4557"	"Qui nous sommes"	"Qui sommes-nous."	"R563_question05_question05_6_56fc78e0983081.73855677_0"	"PISA_fra-FRA_REA_R563-QuestionOfTheWeek_fr18_MS2022.xlf"
"2013"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Cliquez sur la réponse de votre choix.&lt;/i&gt;"	"R544_question9_itemDirections_56fd7267172a17.18889478_1_0"	"PISA_fra-FRA_REA_R544-Tesla_fr18_MS2022.xlf"
"5632"	"Tapez votre réponse à la question."	"Tapez votre réponse à la question.&lt;/i&gt;"	"R568_question09_q09itemDirections_56fc78fdeecd56.67679662_1_0"	"PISA_fra-FRA_REA_R568-SpaceDebris_fr18_MS2022.xlf"
"3625"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Cliquez sur la réponse de votre choix.&lt;/i&gt;"	"R558_question01_itemDirections_56fc78e04c3486.68214722_1_0"	"PISA_fra-FRA_REA_R558-MicrowaveOvens_fr18_MS2022.xlf"
"2862"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Cliquez sur la réponse de votre choix.&lt;/i&gt;"	"R550_question06_q06itemDirections_56fd244096a387.41774906_1_0"	"PISA_fra-FRA_REA_R550-CliffPalace_fr18_MS2022.xlf"
"5262"	"Pour répondre à la question, cliquez sur vos choix de réponse dans le tableau."	"Cliquez sur les réponses de votre choix dans le tableau. &lt;/i&gt;"	"R567_question05_q05itemDirections_56fc78d516e848.72834234_1_0"	"PISA_fra-FRA_REA_R567-SmokeJumpers_fr18_MS2022.xlf"
"3510"	"Pour répondre à la question, cliquez sur vos choix de réponse dans le tableau.&lt;/i&gt;"	"Cliquez sur les réponses de votre choix dans le tableau.&lt;/i&gt;"	"R556_question10_itemDirections_56fc790c715b70.50275048_1_0"	"PISA_fra-FRA_REA_R556-Microlending_fr18_MS2022.xlf"
"5533"	"Pour répondre à la question, cliquez sur vos choix de réponse dans le tableau.&lt;/i&gt;"	"Cliquez sur les réponses de votre choix dans le tableau.&lt;/i&gt;"	"R568_question02_q02itemDirections_56fc78fdd6f4b7.12764144_1_0"	"PISA_fra-FRA_REA_R568-SpaceDebris_fr18_MS2022.xlf"
"5516"	"&lt;i&gt;Référez-vous à la recherche en ligne à droite."	"Utilisez la recherche en ligne à droite."	"R568_question01_q01itemDirections_56fc78fdd58041.79869036_0_0"	"PISA_fra-FRA_REA_R568-SpaceDebris_fr18_MS2022.xlf"
"4535"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Cliquez sur la réponse de votre choix.&lt;/i&gt;"	"R563_question04_q04itemDirections_56fc78e0962af4.96846793_1_0"	"PISA_fra-FRA_REA_R563-QuestionOfTheWeek_fr18_MS2022.xlf"
"2098"	"Pour répondre à la question, cliquez sur vos choix de réponse dans le tableau."	"Cliquez sur les réponses de votre choix dans le tableau. &lt;/i&gt;"	"R545_question03_Q03itemDirections_56fc79295e4c22.44341581_1_0"	"PISA_fra-FRA_REA_R545-MachuPicchu_fr18_MS2022.xlf"
"5327"	"Pour répondre à la question, cliquez sur vos choix de réponse dans le tableau.&lt;/i&gt;"	"Cliquez sur les réponses de votre choix dans le tableau.&lt;/i&gt;"	"R567_question09_q09itemDirections_56fc78d51e20f2.60239407_1_0"	"PISA_fra-FRA_REA_R567-SmokeJumpers_fr18_MS2022.xlf"
"2101"	"Cette affirmation est-elle vraie ou fausse ?"	"Selon la brochure, cette affirmation est-elle vraie ou fausse ?"	"R545_question03_Q03tr1th1_56fc79295e5649.51517362_0"	"PISA_fra-FRA_REA_R545-MachuPicchu_fr18_MS2022.xlf"
"4872"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Cliquez sur la réponse de votre choix.&lt;/i&gt;"	"R565_question6_itemDirections_56fc78f0981e05.02936261_1_0"	"PISA_fra-FRA_REA_R565-SittingDisease_fr18_MS2022.xlf"
"5595"	"Pour répondre à la question, cliquez sur vos choix de réponse dans le tableau.&lt;/i&gt;"	"Cliquez sur les réponses de votre choix dans le tableau.&lt;/i&gt;"	"R568_question07_q07itemDirections_56fc78fdde78e1.98218839_1_0"	"PISA_fra-FRA_REA_R568-SpaceDebris_fr18_MS2022.xlf"
"2316"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Cliquez sur la réponse de votre choix.&lt;/i&gt;"	"R547_question6_itemDirections_56fc791ab79c01.00891094_1_0"	"PISA_fra-FRA_REA_R547-BookSurvey_fr18_MS2022.xlf"
"2591"	"Pour répondre à la question, cliquez sur vos choix de réponse dans le tableau."	"Cliquez sur les réponses de votre choix dans le tableau. &lt;/i&gt;"	"R549_question08_q08itemDirections_56fc78e0142646.58462114_1_0"	"PISA_fra-FRA_REA_R549-MessageInABottle_fr18_MS2022.xlf"
"4554"	"Société"	"Société."	"R563_question05_question05_3_56fc78e09822c6.10637328_0"	"PISA_fra-FRA_REA_R563-QuestionOfTheWeek_fr18_MS2022.xlf"
"506"	"courageously"	"courageusement"	"R220_stimulus_stimulusH_9_50c7c000820031.42976946_0"	"PISA_fra-FRA_REA_R220-SouthPole_en15_MS2022.xlf"
